ID,Cod_Tipo_Cart_Rel,UF,Esfera,Quantidade_media_guias,Volume_medio_arrecadado,Volume_medio_tarifas,Margem_contribuicao_media,Tarifa_media
900358424,407,SP,MUNICIPAL,2026,10600.2,1568.2,105.2,0.99
906070686,405,AL,MUNICIPAL,1624,2322.75,1559.25,0.0,0.99
910587201,406,MG,MUNICIPAL,12248,7521.5,11603.25,65.75,0.99
922852581,405,SC,MUNICIPAL,16809,5666.0,16617.4,0.4,0.99
100801112,407,ES,MUNICIPAL,356,330.0,362.2,0.0,0.98
101431581,406,RJ,MUNICIPAL,14618,794823.0,10891.67,0.0,0.98
101511341,406,RJ,MUNICIPAL,1654,35986.25,1198.0,0.0,0.98
103431783,407,MA,MUNICIPAL,53,39055.0,52.0,0.0,0.98
103465993,406,CE,MUNICIPAL,12247,23548.5,13021.75,2847.5,0.98
103875055,405,CE,MUNICIPAL,411,2883.0,469.0,17.0,0.98
104511467,406,MT,MUNICIPAL,8217,2952.0,6634.0,0.0,0.98
104891371,406,PE,MUNICIPAL,1866,38855.33,1599.33,0.0,0.98
105134289,407,BA,MUNICIPAL,520,33423.67,618.33,93.33,0.98
105157607,407,TO,MUNICIPAL,455,4856.0,447.0,0.0,0.98
105182037,406,MG,MUNICIPAL,856,0.0,843.0,0.0,0.98
105552784,407,MA,MUNICIPAL,210,4802.25,213.5,0.0,0.98
105938609,406,PE,MUNICIPAL,829,9752.67,781.33,0.0,0.98
106154145,406,CE,MUNICIPAL,1058,3999.5,1105.0,0.0,0.98
205124603,407,RS,MUNICIPAL,287,10345.0,323.67,0.0,0.98
300440568,407,GO,MUNICIPAL,319,99567.0,268.5,49.0,0.98
302767193,407,GO,MUNICIPAL,249,900.0,238.5,0.0,0.98
416394354,406,CE,MUNICIPAL,2631,6260.75,2282.0,0.0,0.98
500081268,406,CE,MUNICIPAL,8443,87251.67,8698.33,0.0,0.98
600072048,406,MG,MUNICIPAL,21170,279292.75,21989.0,836.75,0.98
602359559,407,MG,MUNICIPAL,1082,518.33,1161.67,138.67,0.98
803697459,406,BA,MUNICIPAL,9926,0.0,9690.0,0.0,0.98
900586333,407,SP,MUNICIPAL,6996,63805.5,7169.25,736.75,0.98
904432292,406,CE,MUNICIPAL,3430,24011.67,2948.0,130.0,0.98
904490464,406,SC,MUNICIPAL,31945,369756.0,31386.0,0.0,0.98
104762748,406,PE,MUNICIPAL,2740,13608.67,2745.33,0.0,0.97
104907612,407,PE,MUNICIPAL,1220,5530.6,1221.0,59.6,0.97
105002060,406,BA,MUNICIPAL,318,14751.5,49.5,0.0,0.97
105111763,407,GO,MUNICIPAL,46,105238.0,44.75,6.25,0.97
105144126,406,MG,MUNICIPAL,7071,104005.0,6874.0,0.0,0.97
105608946,406,PE,MUNICIPAL,1462,0.0,985.5,0.0,0.97
105616198,407,BA,MUNICIPAL,1305,9823.5,1259.0,99.5,0.97
106446846,407,PE,MUNICIPAL,549,849.25,589.5,0.0,0.97
203685990,407,SC,MUNICIPAL,553,16349.25,524.75,0.0,0.97
204668214,406,PR,MUNICIPAL,3158,11778.0,1823.0,0.0,0.97
300451132,407,GO,MUNICIPAL,153,1850.0,161.0,0.0,0.97
302090668,405,AM,MUNICIPAL,4554,28797.0,5325.8,664.0,0.97
302626285,406,MT,MUNICIPAL,19734,88586.4,19189.0,867.0,0.97
302875876,406,GO,MUNICIPAL,577,58929.0,416.4,0.0,0.97
700073346,407,PR,MUNICIPAL,710,781.5,652.5,0.0,0.97
800723406,406,BA,MUNICIPAL,1956,10756.25,1741.75,0.0,0.97
800879819,406,BA,MUNICIPAL,1197,11448.0,1157.0,1267.0,0.97
906065694,406,MA,MUNICIPAL,355,34931.6,302.6,0.0,0.97
906072394,406,MG,MUNICIPAL,992,9184.0,958.0,0.0,0.97
906072637,406,SC,MUNICIPAL,8923,24912.2,7818.8,1021.8,0.97
475699,407,MS,MUNICIPAL,967,320627.33,944.67,0.0,0.96
530674,406,MS,MUNICIPAL,8839,333219.25,7851.75,1230.25,0.96
101070636,405,ES,MUNICIPAL,28279,5821418.0,27137.0,0.0,0.96
103543100,406,CE,MUNICIPAL,2540,187286.67,2271.33,116.0,0.96
103668390,406,MA,MUNICIPAL,278,2339.0,267.5,0.0,0.96
103701730,405,RN,MUNICIPAL,193,368.0,191.0,148.5,0.96
